pozo;formación;x;y;z;asd
T-1;FILISOLA;47.605101;197.926625;0;0
T-1;MIOCENO;47.605101;197.926625;-0.2778;2812
T-1;OLIGOCENO;47.605311;197.926797;-0.3062;3096
T-1001;FILISOLA;47.60484;197.919182;0;0
T-1001;MIOCENO;47.60484;197.919182;-0.278;2815
T-1001;OLIGOCENO;47.604825;197.917836;-0.3039;3075
T-12ST;FILISOLA;47.491003;198.020719;0;0
T-12ST;MIOCENO;47.491003;198.020719;-0.2847;2880
T-12ST;OLIGOCENO;47.490803;198.020792;-0.3522;3555
T-13 St;FILISOLA;47.603692;197.92732;0;0
T-13 St;MIOCENO;47.603692;197.92732;-0.2783;2816
T-13 St;OLIGOCENO;47.603677;197.927645;-0.3041;3074.2
