pozo;formación;x;y;z;asd
T-1;FILISOLA;476051.01;1979266.25;0;0
T-1;MIOCENO;476051.01;1979266.25;-2778;2812
T-1;OLIGOCENO;476053.11;1979267.97;-3062;3096
T-1001;FILISOLA;476048.4;1979191.82;0;0
T-1001;MIOCENO;476048.4;1979191.82;-2780;2815
T-1001;OLIGOCENO;476048.25;1979178.36;-3039;3075
T-12ST;FILISOLA;474910.03;1980207.19;0;0
T-12ST;MIOCENO;474910.03;1980207.19;-2847;2880
T-12ST;OLIGOCENO;474908.03;1980207.92;-3522;3555
T-13 St;FILISOLA;476036.92;1979273.2;0;0
T-13 St;MIOCENO;476036.92;1979273.2;-2783;2816
T-13 St;OLIGOCENO;476036.77;1979276.45;-3041;3074.2
